genre_ids,overview,title
[18],"['separate', 'daughter', 'father', 'intellectual', 'disability', 'must', 'prove', 'innocence', 'jail', 'death', 'commanders', 'child']",Miracle in Cell No. 7
"[35, 18, 10402]","['return', 'earth', 'imitators', 'legendary', 'mexican', 'artist', 'per', 'infants', 'must', 'prove', 'longer', 'womanizer', 'enter', 'paradise']",Out of the Clear Blue Sky
"[16, 10749, 18, 14]","['fujisawa', 'dakota', 'azusagawa', 'second', 'year', 'high', 'school', 'blissful', 'days', 'girlfriend', 'upperclassman', 'may', 'sakurajima', 'interrupt', 'appearance', 'first', 'crush', 'shake', 'makinohara']",Rascal Does Not Dream of a Dreaming Girl
"[18, 10402]","['story', 'virtuous', 'piano', 'player', 'live', 'entire', 'life', 'aboard', 'ocean', 'line', 'bear', 'raise', 'ship', '1900', 'learn', 'outside', 'world', 'interactions', 'passengers', 'never', 'set', 'foot', 'land', 'even', 'love', 'life', 'years', 'later', 'ship', 'may', 'destroy', 'former', 'band', 'member', 'fear', '1900', 'may', 'still', 'aboard', 'will', 'go', 'ship']",The Legend of 1900
"[18, 53, 9648, 28]","['clue', 'come', 'imprison', 'drag', 'torture', '15', 'years', 'desperate', 'man', 'seek', 'revenge', 'captors']",Oldboy
"[18, 53, 80]","['four', 'prison', 'inmates', 'watch', 'plan', 'literally', 'dig', 'jail', 'another', 'prisoner', 'claude', 'gasp', 'move', 'cell', 'take', 'risk', 'share', 'plan', 'newcomer', 'course', 'three', 'days', 'prisoners', 'friends', 'break', 'concrete', 'floor', 'use', 'bed', 'post', 'begin', 'make', 'way', 'fewer', 'system', '–', 'yet', 'escape', 'anything', 'assure']",Le Trou
"[18, 10749]","['17', 'year', 'old', 'find', 'girlfriend', 'die', 'set', 'give', 'entire', 'life', 'last', 'year', 'leave']",Life in a Year
"[10402, 18, 10749]","['young', 'musician', 'sobiech', 'discover', 'cancer', 'spread', 'leave', 'months', 'live', 'limit', 'time', 'follow', 'dream', 'make', 'album', 'unaware', 'soon', 'vital', 'music', 'phenomenon']",Clouds
"[16, 18, 10749]","['classmate', 'crush', 'diagnose', 'pancreatic', 'disease', 'average', 'high', 'schooner', 'set', 'make', 'final', 'days']",I Want to Eat Your Pancreas
"[12, 878, 28]","['devastate', 'events', 'avenues', 'infinity', 'war', 'universe', 'ruin', 'due', 'efforts', 'mad', 'thank', 'help', 'remain', 'ally', 'avenues', 'must', 'assemble', 'order', 'undo', 'thank', 'action', 'restore', 'order', 'universe', 'matter', 'consequences', 'may', 'store']",Avengers: Endgame
"[28, 878]","['set', 'century', 'matrix', 'tell', 'story', 'computer', 'packer', 'join', 'group', 'underground', 'insurgents', 'fight', 'vast', 'powerful', 'computers', 'rule', 'earth']",The Matrix
[10402],"['taylor', 'swift', 'take', 'stage', 'dallas', 'reputation', 'stadium', 'tour', 'celebrate', 'monuments', 'night', 'music', 'memories', 'visual', 'magic']",Taylor Swift: Reputation Stadium Tour
"[12, 28, 878]","['avenues', 'ally', 'continue', 'protect', 'world', 'threats', 'large', 'one', 'hero', 'handle', 'new', 'danger', 'emerge', 'comic', 'shadow', 'thank', 'despot', 'intergalactic', 'infamy', 'goal', 'collect', 'six', 'infinity', 'stone', 'artifacts', 'unimaginable', 'power', 'use', 'inflict', 'twist', 'reality', 'everything', 'avenues', 'fight', 'lead', 'moment', 'fate', 'earth', 'existence', 'never', 'uncertain']",Avengers: Infinity War
"[16, 10751, 12, 35, 14]","['selfish', 'potman', 'exclusive', 'toymaker', 'form', 'unlikely', 'friendship', 'deliver', 'joy', 'cold', 'dark', 'town', 'desperately', 'need']",Klaus
"[18, 35, 36]","['tony', 'lip', 'bounce', '1962', 'hire', 'drive', 'pianist', 'shirley', 'tour', 'deep', 'south', 'days', 'african', 'americans', 'force', 'find', 'alternate', 'accommodations', 'service', 'due', 'aggregation', 'laws', 'masondixon', 'line', 'rely', 'guide', 'call', 'negro', 'motorist', 'green', 'book']",Green Book
"[18, 35, 12]","['robert', 'shy', 'law', 'student', 'rome', 'meet', 'brunn', 'fortyyearold', 'exuberant', 'capricious', 'man', 'take', 'drive', 'roman', 'tuscans', 'countries', 'summer', 'journey', 'start', 'blend', 'daily', 'live', 'though', 'pair', '’', 's', 'newfound', 'friendship', 'test']",Il Sorpasso
"[28, 18, 12]","['death', 'emperor', 'marcus', 'aureus', 'serious', 'son', 'take', 'power', 'denote', 'maximus', 'one', 'come', 'capable', 'general', 'marcus', 'prefer', 'eventually', 'maximus', 'force', 'become', 'gladiator', 'battle', 'death', 'men', 'amusement', 'pay', 'audiences']",Gladiator
"[10749, 18]","['seventeenyearold', 'still', 'spend', 'time', 'hospital', 'cystic', 'fibrosis', 'patient', 'life', 'full', 'routine', 'boundaries', 'selfcontrol', '—', 'get', 'put', 'test', 'meet', 'impossible', 'charm', 'illness', 'instant', 'flotation', 'though', 'restrictions', 'dictate', 'must', 'maintain', 'safe', 'distance', 'connection', 'intensify', 'temptation', 'throw', 'rule', 'window', 'embrace', 'attraction']",Five Feet Apart
"[27, 53, 10402]","['night', 'move', 'turn', 'terrify', 'michael', 'date', 'attack', 'hobbies', 'release', 'height', 'thrill', '’', 's', 'success', 'short', 'film', 'define', 'music', 'video', 'break', 'racial', 'barriers', 'become', 'first', 'induce', 'us', 'national', 'film', 'registry']",Michael Jackson's Thriller
"[10752, 18, 36]","['us', 'troop', 'storm', 'reach', 'normandy', 'three', 'brothers', 'lie', 'dead', 'battlefield', 'fourth', 'wrap', 'behind', 'enemy', 'line', 'ranger', 'captain', 'john', 'miller', 'seven', 'men', 'ask', 'penetrate', 'germanheld', 'territory', 'bring', 'boy', 'home']",Saving Private Ryan
[18],"['peculiar', 'neighbor', 'offer', 'hope', 'recent', 'widow', 'struggle', 'raise', 'teenager', 'predictable', 'sometimes', 'violent']",Mommy
"[16, 10751, 18, 14]","['werewolf', 'lover', 'unexpectedly', 'die', 'accident', 'woman', 'must', 'find', 'way', 'raise', 'son', 'daughter', 'however', 'inheritance', 'father', 'traits', 'prove', 'challenge']",Wolf Children
[10402],"['concert', 'film', 'document', 'taylor', 'swift', 'recordbreaking', 'ears', 'tour', '20232024', 'fill', 'los', 'angeles', 'show', 'film', 'capture', 'hours', 'ten', 'act', 'represent', 'different', 'musical', 'era', 'swift', 'career', 'film', 'showcases', '40', 'songs', 'elaborate', 'stage', 'productions', 'swift', 'performance']",TAYLOR SWIFT | THE ERAS TOUR
"[18, 53, 10752]","['nazioccupied', 'france', 'world', 'war', 'ii', 'group', 'jewishamerican', 'soldier', 'know', 'bastards', 'choose', 'specifically', 'spread', 'fear', 'throughout', 'third', 'rich', 'scalp', 'brutally', 'kill', 'paris', 'bastards', 'lead', 'also', 'raise', 'soon', 'cross', 'paths', 'frenchjewish', 'teenage', 'girl', 'run', 'movie', 'theater', 'paris', 'target', 'soldier']",Inglourious Basterds
"[18, 9648, 80]","['ail', 'barrier', 'thrust', 'back', 'courtroom', 'become', 'one', 'unusual', 'eventual', 'murder', 'case', 'lawyers', 'career', 'find', 'defend', 'man', 'try', 'murder', 'socialists']",Witness for the Prosecution
"[18, 10752]","['invasion', 'village', 'bear', 'german', 'force', 'send', 'young', 'flora', 'forest', 'join', 'weary', 'resistance', 'fighter', 'family', 'wish', 'meet', 'girl', 'glass', 'accompany', 'back', 'village', 'return', 'home', 'flora', 'find', 'family', 'fellow', 'peasants', 'massacre', 'continue', 'survival', 'amidst', 'brutal', 'debris', 'war', 'become', 'increasingly', 'nightmarish', 'battle', 'despair', 'hope']",Come and See
"[16, 10751, 12, 14]","['unlikely', 'friendship', 'boy', 'mole', 'fox', 'horse', 'travel', 'together', 'boys', 'search', 'home']","The Boy, the Mole, the Fox and the Horse"
"[16, 28, 12, 14]","['earth', 'dedicate', 'intergalactic', 'tyrant', 'darkseid', 'devastate', 'justice', 'league', 'poorly', 'execute', 'war', 'super', 'heroes', 'remain', 'nations', 'good', '–', 'justice', 'league', 'tetanus', 'suicide', 'squad', 'assert', 'others', '–', 'must', 'group', 'strategic', 'take', 'war', 'darkseid', 'order', 'save', 'planet', 'survive', 'inhabitants']",Justice League Dark: Apokolips War
"[16, 28, 14]","['tanjiro', 'kamado', 'join', 'insure', 'hashibira', 'boy', 'raise', 'board', 'wear', 'board', 'head', 'zenith', 'agatsuma', 'scar', 'boy', 'reveal', 'true', 'power', 'sleep', 'board', 'infinity', 'train', 'new', 'mission', 'fire', 'hashira', 'kyojuro', 'rengoku', 'defeat', 'demon', 'torment', 'people', 'kill', 'demon', 'layer', 'oppose']",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"[16, 12, 14, 35, 10751]","['pus', 'boot', 'discover', 'passion', 'adventure', 'take', 'toll', 'burn', 'eight', 'nine', 'live', 'leave', 'one', 'life', 'leave', 'pus', 'set', 'epic', 'journey', 'find', 'mystical', 'last', 'wish', 'restore', 'nine', 'live']",Puss in Boots: The Last Wish
"[27, 53]","['jack', 'trance', 'accept', 'caretaker', 'job', 'overlook', 'hotel', 'along', 'wife', 'windy', 'son', 'dandy', 'must', 'live', 'isolate', 'rest', 'world', 'winter', 'agent', 'prepare', 'madness', 'turks', 'within']",The Shining
"[18, 9648, 878]","['mysterious', 'story', 'two', 'magician', 'whose', 'intense', 'rivalry', 'lead', 'sidelong', 'battle', 'supremacy', 'full', 'possession', 'deceit', 'jealousy', 'dangerous', 'deadly', 'consequences']",The Prestige
[18],"['aibileen', 'clark', 'middleaged', 'africanamerican', 'maid', 'spend', 'life', 'raise', 'white', 'children', 'recently', 'lose', 'son', 'many', 'jackson', 'africanamerican', 'maid', 'often', 'offend', 'employers', 'despite', 'family', 'struggle', 'money', 'desperate', 'need', 'job', 'eugene', 'sweeter', 'plan', 'young', 'white', 'woman', 'recently', 'move', 'back', 'home', 'granulate', 'college', 'find', 'childhood', 'maid', 'mysteriously', 'disappear', 'three', 'stories', 'intertwine', 'explain', 'life', 'jackson', 'mississippi', 'revolve', 'around', 'help', 'yet', 'always', 'keep', 'certain', 'distance', 'racial', 'line']",The Help
"[18, 53]","['vacation', 'entomologist', 'suffer', 'extreme', 'physical', 'psychological', 'trauma', 'take', 'captive', 'residents', 'poor', 'seaside', 'village', 'make', 'live', 'woman', 'whose', 'life', 'task', 'shiver', 'sand']",Woman in the Dunes
"[18, 53, 9648]","['world', 'war', 'ii', 'soldierturnedus', 'marshal', 'teddy', 'daniel', 'investigate', 'disappearance', 'patient', 'hospital', 'criminal', 'insane', 'efforts', 'compromise', 'trouble', 'visions', 'mysterious', 'doctor']",Shutter Island
"[12, 28, 878]","['princess', 'lea', 'capture', 'hold', 'hostage', 'evil', 'imperial', 'force', 'effort', 'take', 'lactic', 'empire', 'venturesome', 'luke', 'skywalker', 'dash', 'captain', 'solo', 'team', 'together', 'movable', 'root', 'red', 'cap', 'rescue', 'beautiful', 'princess', 'restore', 'peace', 'justice', 'empire']",Star Wars
"[10751, 16, 10402, 12]","['despite', 'family', '’', 's', 'baffle', 'generationsold', 'ban', 'music', 'michel', 'dream', 'become', 'accomplish', 'musician', 'like', 'idol', 'ernest', 'de', 'la', 'cruz', 'desperate', 'prove', 'talent', 'michel', 'find', 'stun', 'colourful', 'land', 'dead', 'follow', 'mysterious', 'chain', 'events', 'along', 'way', 'meet', 'charm', 'trickster', 'sector', 'together', 'set', 'extraordinary', 'journey', 'clock', 'real', 'story', 'behind', 'miguels', 'family', 'history']",Coco
"[16, 10751, 12, 14]","['time', 'superstition', 'magic', 'wolves', 'see', 'demon', 'nature', 'evil', 'tame', 'young', 'apprentice', 'hunter', 'come', 'ireland', 'father', 'wipe', 'last', 'pack', 'save', 'wild', 'native', 'girl', 'friendship', 'lead', 'discover', 'world', 'wolfwalkers', 'transform', 'thing', 'father', 'ask', 'destroy']",Wolfwalkers
